Expedition,Site,Hole,Core,Core type,Section,Sample Top Depth in Section [cm],Sample Bottom in Section [cm],Combined ID,Sampling type,Top Depth of Sample [m b.s.f.],Salinity [‰],NH4 [mM],pH [-],Alkalinity [mM],H2S  [mmol],Cl [mM],SO4 [mM],Br [mM],Al [µM],B [µM],Ba [µM],Ca [mM],Fe [µM],K [mM],Li [µM],Mg [mM],Mn [µM],Mo [µM],Na [mM],Ni [µM],P [µM],S [mM],Si [µM],Sr [µM],Comments,Combined ID,Sample Size,Top Depth of Sample [m b.s.f.],Lithology,Disturbance,Core image Evaluation (onshore) Reviewer 1 Thomas,Core image Evaluation (onshore) Reviewer 2 Rebecca,Core image Evaluation (onshore) Reviewer 3 Takeshi,Core image offshore Thomas,contamination Thomas and Rebecca,Medium confidence Rebecca,contamination Takeshi,Contamination all               (all 3 vote for contamination),Medium confidence     (min 1 and max 2 vote for contamination),Contamination,comment
501,M0111,A,21,H,2,105,105,501_M0111_A_021H_2_WR:105-105_1,IWRH2,49.82,32.08,0.18,7.00,3.05,0.002,509.308,25.684,0.764,,,,,,,,,,,,,,,,,,501_M0111_A_021H_2_WR:105-105_1,22,49.82,clay,none,"coherent above and below, lot of water",,"loose mud, highly disturbed",,,,Y,,Y,Y,
501,M0111,A,22,H,2,85,85,501_M0111_A_022H_2_WR:85-85_1,IWRH3,51.92,31.55,,7.12,3.94,,,,,,,,,,,,,,,,,,,,,,501_M0111_A_022H_2_WR:85-85_1,7,51.92,clay,moderate,"mud clasts, light turbations?",,"sandy mud, crack",,,,Y?,,Y,Y,"According to core image, the sampling depth looks at 95-96 cm (based on yellow tape). Depth 85cm looks fine, but 95-96cm may be contaminated"
501,M0111,A,24,H,1,75,80,501_M0111_A_024H_1_WR:75-80_1,IWRH1,55.67,31.53,0.17,6.88,3.34,,499.883,25.223,0.748,0.000,313.321,0.277,10.145,29.919,8.340,19.885,47.594,3.640,0.104,402.958,0.511,0.000,24.828,226.985,78.315,,501_M0111_A_024H_1_WR:75-80_1,20,55.67,coarse sand,slight,"coarse sand sunken in, water close to the liner",,"loose sand, highly disturbed",,,,Y,,Y,Y,
501,M0111,A,25,H,1,125,130,501_M0111_A_025H_1_WR:125-130_1,IWRH2,57.91,31.43,0.16,6.84,3.06,0.000,503.510,25.357,0.752,,,,,,,,,,,,,,,,,,501_M0111_A_025H_1_WR:125-130_1,20,57.91,coarse sand,slight,coherent above and below,,"loose sand, slightly disturbed",,,,Y?,,Y,Y,"According to Log-sheet, SQ2(149-151) and IWRH2(125-130) have same ID (IW-CN). The depth of IWRH2 should be 125-125 (based on core image)."
501,M0111,A,27,H,1,123,128,501_M0111_A_027H_1_WR:123-128_1,IWRH3,62.43,30.84,,7.19,3.33,,492.697,25.017,0.730,0.334,313.414,0.248,9.938,9.132,8.537,17.003,47.018,2.839,0.000,403.219,0.409,3.132,24.947,112.460,76.729,,501_M0111_A_027H_1_WR:123-128_1,30,62.43,coarse sand,slight,"coarse sand coherent above and below, 15 cam above large shell fragment",,"loose sand, disturbed",,,,Y,,Y,Y,
501,M0111,B,1,H,1,125,130,501_M0111_B_001H_1_WR:125-130_1,IWRH3,63.25,31.66,,7.16,3.20,,,,,,,,,,,,,,,,,,,,,,501_M0111_B_001H_1_WR:125-130_1,9,63.25,fine sand,slight,"coherent above and below, water on surface",,"loose sand, disturbed",,,,Y,,Y,Y,
501,M0111,B,2,H,2,70,70,501_M0111_B_002H_2_WR:70-70_1,IWRH1,65.84,31.81,0.16,6.81,3.10,,504.801,25.525,0.751,0.037,308.511,0.262,10.197,61.808,8.049,16.715,48.252,3.895,0.000,399.870,0.716,3.713,25.168,203.631,78.783,,501_M0111_B_002H_2_WR:70-70_1,22,65.84,medium sand ,slight,"slightly collapsed sections nearby, otherwise coherent above",,"loose sand, disturbed",,,,Y,,Y,Y,
501,M0111,B,3,H,1,120,120,501_M0111_B_003H_1_WR:120-120_1,IWRH2,67.26,31.60,0.15,6.84,2.96,0.000,503.402,25.430,0.756,,,,,,,,,,,,,,,,,,501_M0111_B_003H_1_WR:120-120_1,18,67.26,medium sand ,slight,coherent above and below,,loose sand,,,,,,,,
501,M0111,B,4,H,1,120,125,501_M0111_B_004H_1_WR:120-125_1,IWRH3,69.4,31.73,,7.08,2.74,,,,,,,,,,,,,,,,,,,,,,501_M0111_B_004H_1_WR:120-125_1,5,69.4,very coarse sand,none,"coarse sand, slightly sunken in /collapsed, water",,"loose sand, disturbed",,,,Y,,Y,Y,
501,M0111,B,12,R,2,0,6,501_M0111_B_012R_2_WR:0-6_1,IWSQ1,77.38,28.84,0.29,7.31,3.17,,459.476,18.507,0.691,0.000,286.772,0.684,10.559,0.412,9.870,20.317,42.205,1.402,0.292,356.503,0.000,5.780,18.350,94.090,77.448,,501_M0111_B_012R_2_WR:0-6_1,20,77.38,clay,slight,section below shows broken laminated clay,,compacted (not hard) laminated clay,,,,,,,,
